ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20060016647,29372,9309
T20060016676,55662,1118
T20060016726,29773,7084
T20060016738,37496,5148
T20060016742,42744,6382
T20060016763,61744,8783
T20060016780,478,5278
T20060016835,42744,6382
T20060016860,29592,9671
T20060017064,35937,8797
T20060017066,29773,7084
T20060017074,42880,6387
T20060017136,204325,1026
T20060017144,228,9537
T20060017184,36214,9401
T20060017211,36221,9332
T20060017279,22,9361
T20060017336,49818,7687
T20060017435,45344,9144
T20060017450,41890,5957
T20060017461,43632,6686
T20060017546,52250,102081
T20060017647,46463,6385
T20060017665,42791,6477
T20060017759,83,9402
T20060017822,65993,5340
T20060017846,11171,9342
T20060018013,41777,5899
T20060018067,44459,7816
T20060018157,55325,8595
T20060018229,48959,9404
T20060018247,39785,5416
T20060018278,49935,7716
T20060018299,42590,6344
T20060018325,29836,9447
T20060018376,29404,6679
T20060018471,41016,5536
T20060018500,627,5482
T20060018539,29700,6568
T20060018614,40576,5670
T20060018715,17632,3147
T20060018716,39765,5206
T20060018844,41271,5775
T20060018924,29372,9309
T20060018971,721,6133
T20060019026,50179,7811
T20060019093,57542,5878
T20060019278,35627,6675
T20060019296,41833,6044
T20060019320,35526,5469
T20060019597,242,9558
T20060019818,41667,6027
T20060019956,43027,6462
T20060019967,29416,9498
T20060020007,36731,5747
T20060020093,43287,6699
T20060020144,42411,6246
T20060020155,205224,9498
T20060020172,37592,9633
T20060020183,44972,9096
T20060020204,26280,6136
T20060020261,43152,6443
T20060020343,54466,1266
T20060020382,36809,6075
T20060020444,42575,6322
T20060020569,48334,7644
T20060020578,55679,7669
T20060020583,37587,9601
T20060020622,52777,2292
T20060020676,15406,7740
T20060020687,44317,9750
T20060020694,40205,5746
T20060020697,45937,5320
T20060020809,43287,6699
T20060020899,45881,1030
T20060020970,56203,100439
T20060020992,54453,9543
T20060021013,57538,5867
T20060021058,39785,5416
T20060021113,46085,1000
T20060021128,57542,5878
T20060021135,42658,6334
T20060021284,50841,3019
T20060021286,36210,9380
T20060021309,39267,5302
T20060021350,35778,1028
T20060021395,38198,8784
T20060021402,41832,6047
T20060021422,793,1000
T20060021422,793,6245
T20060021443,53088,2395
T20060021449,56049,100447
T20060021460,42474,6195
T20060021467,16750,7554
T20060021586,957,6983
T20060021631,42746,6367
T20060021672,55706,4024
T20060021701,35627,6675
T20060021742,35416,5594
T20060021811,43027,6462
T20060021838,47518,100452
T20060021912,53513,1254
T20060021922,35451,8775
T20060021932,29945,7723
T20060021985,42750,6395
T20060022051,49997,7732
T20060022127,29773,7084
T20060022138,29893,9389
T20060022144,238698,5391
T20060022184,260,102903
T20060022235,40158,5661
T20060022246,204654,9572
T20060022267,44796,1381
T20060022268,260,102903
T20060022334,41896,5783
T20060022398,204677,6339
T20060022442,30110,4082
T20060022553,35740,9542
T20060022586,41453,6007
T20060022690,43584,7057
T20060022718,55714,6019
T20060022765,46716,6009
T20060022820,45642,9282
T20060022829,167,8678
T20060022842,73150,1282
T20060022860,55719,6822
T20060022873,35862,8808
T20060022891,35304,9377
T20060022931,40914,5743
T20060022961,54453,9543
T20060022996,35737,6772
T20060023048,43027,6462
T20060023057,52225,1232
T20060023076,57648,6952
T20060023083,41039,5741
T20060023093,43061,6548
T20060023130,29813,9204
T20060023135,635,5545
T20060023158,35970,101014
T20060023196,55721,8992
T20060023314,35620,6513
T20060023406,15405,7722
T20060023434,49975,7726
T20060023446,54089,6240
T20060023562,29618,5641
T20060023593,54466,1266
T20060023698,40426,5692
T20060023728,55730,6580
T20060023762,43633,6600
T20060023767,49729,7642
T20060023800,42320,6218
T20060023808,55791,6354
T20060023820,36230,9419
T20060023834,211932,5500
T20060023850,39815,100514
T20060023860,44633,9074
T20060023924,29746,6662
T20060023960,42467,6240
T20060023981,57539,5865
T20060024029,43632,6686
T20060024207,29672,6065
T20060024258,713,6096
T20060024265,37164,8622
T20060024318,40650,5595
T20060024417,44014,7136
T20060024419,38572,8841
T20060024427,249,9522
T20060024470,43655,6720
T20060024484,47857,5936
T20060024506,50370,8021
T20060024534,43444,6941
T20060024550,53382,2346
T20060024579,37164,8622
T20060024668,29549,5329
T20060024703,43632,6686
T20060024781,36782,6652
T20060024884,40679,9032
T20060024890,37496,5148
T20060024934,55755,6262
T20060025010,44660,8859
T20060025094,713,6096
T20060025132,10475,1028
T20060025185,58925,3084
T20060025262,41749,5832
T20060025316,37894,9123
T20060025368,38295,5095
T20060025389,876,6431
T20060025442,795,6148
T20060025461,35619,6506
T20060025462,35304,9377
T20060025486,39528,5356
T20060025488,42805,6510
T20060025524,48129,100903
T20060025556,42538,6256
T20060025617,57408,9132
T20060025695,40134,100452
T20060025706,41965,5900
T20060025726,39679,5443
T20060025754,29746,6662
T20060025784,46837,5566
T20060025855,42065,8999
T20060025868,35740,9542
T20060025918,38098,9117
T20060025967,949,6964
T20060026026,45130,9257
T20060026143,47550,7062
T20060026191,55756,101372
T20060026206,56226,101697
T20060026276,478,5278
T20060026293,36797,8600
T20060026326,44986,9100
T20060026391,53892,7667
T20060026463,49695,1027
T20060026472,39281,5413
T20060026513,876,6431
T20060026539,49750,7656
T20060026543,54191,9538
T20060026566,19433,102694
T20060026572,54721,8022
T20060026588,40650,5595
T20060026613,533,8929
T20060026625,52110,1168
T20060026713,38499,9509
T20060026736,41824,5774
T20060026739,534,5290
T20060026799,42659,6266
T20060026843,45413,9162
T20060026860,29893,9389
T20060026891,323,101853
T20060026977,37170,9552
T20060027056,55780,5242
T20060027197,42752,6476
T20060027221,53061,100441
T20060027233,36982,9575
T20060027237,35387,9561
T20060027257,239301,9753
T20060027359,42197,6313
T20060027531,55790,100492
T20060027660,49826,7689
T20060027663,35315,6521
T20060027680,37788,5524
T20060027694,39715,5186
T20060027747,38206,8809
T20060027748,38220,8669
T20060027757,57530,5752
T20060027836,48218,100063
T20060027850,35308,9387
T20060027922,35646,8526
T20060027950,11083,5778
T20060027988,276,9752
T20060027994,410,9108
T20060028020,36448,6668
T20060028137,43096,6363
T20060028175,50223,7838
T20060028179,50154,7800
T20060028190,37894,9123
T20060028278,793,1000
T20060028278,793,6245
T20060028300,222023,6541
T20060028360,998,8763
T20060028615,46521,5149
T20060028616,44463,7723
T20060028682,48134,102816
T20060028685,35387,9561
T20060028695,36083,9313
T20060028740,119,9612
T20060028753,44222,8626
T20060028803,47013,5933
T20060028808,47029,9493
T20060028826,41888,5944
T20060028838,55819,1167
T20060028854,39558,5337
T20060028892,35714,9253
T20060028919,29386,9310
T20060028993,43147,6436
T20060029068,39553,5310
T20060029110,50643,7996
T20060029134,29746,6662
T20060029202,37164,8622
T20060029284,127,8920
T20060029399,41116,9710
T20060029400,50214,7830
T20060029421,205590,5298
T20060029433,39281,5413
T20060029444,29396,9434
T20060029482,35778,1028
T20060029487,42658,6334
T20060029546,4383,5054
T20060029596,54437,9260
T20060029605,84,5298
T20060029635,49244,102913
T20060029636,40724,5449
T20060029696,890,6631
T20060029699,36945,9514
T20060029701,46695,6177
T20060029731,531,1015
T20060029751,55831,4209
T20060029812,29885,6807
T20060029825,38155,9131
T20060029866,329,5293
T20060029871,36189,8762
T20060029879,55834,1227
T20060030046,48778,8622
T20060030079,29491,9092
T20060030085,40914,5743
T20060030108,37282,9450
T20060030121,38993,5227
T20060030150,15202,3093
T20060030159,53412,5834
T20060030176,1248,8779
T20060030239,1175,6804
T20060030250,39785,5416
T20060030281,41910,5898
T20060030300,29816,9249
T20060030304,36210,9380
T20060030311,45400,9268
T20060030324,45623,9177
T20060030336,41921,5844
T20060030339,26454,9001
T20060030389,38871,5322
T20060030409,39137,101538
T20060030444,38315,8764
T20060030558,45189,8807
T20060030632,24378,6762
T20060030653,43444,6941
T20060030693,41455,6062
T20060030707,39748,5169
T20060030740,41873,5915
T20060030745,29386,9310
T20060030807,46327,6362
T20060030896,55848,5367
T20060030944,39785,5416
T20060030952,205839,1005
T20060030967,38336,5074
T20060030996,37633,102899
T20060031010,43935,102895
T20060031034,40093,9663
T20060031045,38468,5043
T20060031051,54191,9538
T20060031078,43811,5403
T20060031144,44195,8919
T20060031172,37200,9503
T20060031217,35705,8789
T20060031222,37164,8622
T20060031236,37694,5564
T20060031243,70759,6549
T20060031248,51821,4273
T20060031267,36693,9363
T20060031303,876,6431
T20060031305,37406,6761
T20060031389,41749,5832
T20060031395,43975,7105
T20060031410,43430,6973
T20060031414,43444,6941
T20060031493,36552,5809
T20060031622,43975,7105
T20060031648,119,9612
T20060031663,55348,3118
T20060031664,36210,9380
T20060031700,53383,5702
T20060031701,207944,2415
T20060031888,890,6631
T20060031892,46387,7716
T20060031936,45825,100421
T20060031974,56079,8910
T20060031991,29961,1354
T20060032011,29386,9310
T20060032025,637,5721
T20060032105,43632,6686
T20060032115,801,6326
T20060032116,53139,2145
T20060032125,44014,7136
T20060032136,42805,6510
T20060032193,29375,9340
T20060032225,43933,6993
T20060032314,40894,5585
T20060032321,39785,5416
T20060032483,55862,102296
