ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20120000772,9,Unknown,1
T20120000778,1,Dry,1
T20120000779,1,Dry,1
T20120000781,1,Dry,1
T20120000782,1,Dry,1
T20120000783,1,Dry,1
T20120000791,2,Wet,1
T20120000792,1,Dry,1
T20120000797,1,Dry,1
T20120000798,2,Wet,1
T20120000799,1,Dry,1
T20120000800,1,Dry,1
T20120000802,9,Unknown,1
T20120000804,2,Wet,1
T20120000811,1,Dry,1
T20120000812,2,Wet,1
T20120000813,1,Dry,1
T20120000814,2,Wet,1
T20120000816,1,Dry,1
T20120000817,1,Dry,1
T20120000818,1,Dry,1
T20120000819,2,Wet,1
T20120000821,1,Dry,1
T20120000822,1,Dry,1
T20120000823,1,Dry,1
T20120000824,1,Dry,1
T20120000825,9,Unknown,1
T20120000826,1,Dry,1
T20120000829,2,Wet,1
T20120000830,1,Dry,1
T20120000831,1,Dry,1
T20120000833,1,Dry,1
T20120000834,2,Wet,1
T20120000835,1,Dry,1
T20120000837,2,Wet,1
T20120000838,1,Dry,0
T20120000840,1,Dry,1
T20120000844,1,Dry,1
T20120000845,1,Dry,1
T20120000847,1,Dry,1
T20120000848,2,Wet,1
T20120000849,1,Dry,1
T20120000850,1,Dry,1
T20120000852,1,Dry,1
T20120000855,1,Dry,1
T20120000856,1,Dry,1
T20120000858,1,Dry,1
T20120000859,1,Dry,1
T20120000860,9,Unknown,1
T20120000862,1,Dry,1
T20120000863,1,Dry,1
T20120000864,1,Dry,1
T20120000865,1,Dry,1
T20120000867,1,Dry,1
T20120000868,1,Dry,1
T20120000870,2,Wet,1
T20120000871,1,Dry,1
T20120000874,1,Dry,1
T20120000876,1,Dry,1
T20120000877,2,Wet,1
T20120000880,1,Dry,1
T20120000885,1,Dry,1
T20120000887,2,Wet,1
T20120000888,2,Wet,1
T20120000894,2,Wet,1
T20120000897,2,Wet,1
T20120000899,1,Dry,1
T20120000900,1,Dry,1
T20120000902,1,Dry,1
T20120000905,1,Dry,1
T20120000906,1,Dry,1
T20120000911,1,Dry,1
T20120000915,1,Dry,1
T20120000917,9,Unknown,1
T20120000919,1,Dry,1
T20120000920,1,Dry,1
T20120000921,1,Dry,1
T20120000922,1,Dry,1
T20120000923,1,Dry,1
T20120000924,1,Dry,1
T20120000925,1,Dry,1
T20120000927,1,Dry,1
T20120000930,1,Dry,1
T20120000931,1,Dry,1
T20120000937,2,Wet,1
T20120000939,2,Wet,1
T20120000941,2,Wet,1
T20120000942,1,Dry,1
T20120000943,1,Dry,1
T20120000944,9,Unknown,1
T20120000945,2,Wet,1
T20120000947,1,Dry,1
T20120000949,1,Dry,1
T20120000955,2,Wet,1
T20120000958,1,Dry,1
T20120000960,1,Dry,1
T20120000961,1,Dry,1
T20120000962,1,Dry,1
T20120000967,9,Unknown,1
T20120000968,1,Dry,1
T20120000974,1,Dry,1
T20120000976,1,Dry,1
T20120000978,1,Dry,1
T20120000979,1,Dry,1
T20120000980,1,Dry,1
T20120000989,1,Dry,1
T20120000990,1,Dry,1
